sexF	loc	intern	dropout	fails	finstress	Label	Node_Set
0	0	0	0	0	1	1	1
1	0	1	0	0	2	2	1
0	0	0	0	0	0	3	1
0	0	1	0	0	0	4	1
0	0	0	0	0	0	5	1
1	0	0	0	0	0	6	1
0	0	0	0	1	0	7	1
1	0	1	1	0	0	8	1
1	0	1	1	0	1	9	1
1	0	1	1	0	2	10	1
1	0	0	1	0	2	11	1
1	1	0	1	0	1	12	1
1	0	1	1	0	0	13	1
0	0	1	0	0	3	14	1
1	0	1	0	0	2	15	1
0	0	0	1	0	2	16	1
1	0	1	0	0	2	17	1
1	0	0	0	0	2	18	1
0	1	1	1	0	2	19	1
1	0	1	0	0	2	20	1
0	0	0	0	0	3	21	1
1	0	1	1	1	2	22	1
0	0	0	0	0	2	23	1
0	1	1	1	0	1	24	1
1	1	0	0	0	1	25	1
1	1	1	1	0	2	26	1
1	0	1	1	0	2	27	1
0	0	0	0	0	0	28	1
0	0	0	0	0	2	29	1
0	1	1	1	1	1	30	1
0	1	0	1	0	2	31	1
0	0	0	0	0	3	32	1
0	0	0	0	0	1	33	1
1	0	0	1	0	2	34	1
1	0	0	0	0	2	35	1
0	0	0	0	0	2	36	1
1	0	0	0	0	1	37	1
0	0	1	0	0	2	38	1
1	0	1	0	0	2	39	1
0	0	1	0	0	3	40	1
0	0	1	0	0	2	41	1
1	0	0	1	0	2	42	1
0	1	0	0	0	0	43	1
0	0	1	0	0	0	44	1
0	0	1	1	1	1	45	1
1	0	1	0	0	1	46	1
1	0	0	0	0	3	47	1
0	0	1	0	2	3	48	1
1	0	1	0	0	3	49	1
1	0	1	0	0	2	50	1
0	0	0	1	0	2	51	1
0	1	0	1	1	0	52	1
1	0	1	0	0	1	53	1
1	0	1	0	1	1	54	1
0	0	0	0	0	0	55	1
1	0	1	0	0	0	56	1
0	0	0	1	0	1	57	1
1	0	0	0	0	0	58	1
1	1	0	1	0	2	59	1
1	0	1	0	0	1	60	1
0	0	0	0	0	2	61	1
0	0	0	0	0	1	62	1
1	0	0	0	0	1	63	1
0	0	1	0	0	2	64	1
1	0	0	0	0	2	65	1
1	1	1	0	0	1	66	1
1	1	0	1	0	2	67	1
1	1	0	0	1	0	68	1
1	0	1	1	1	2	69	1
0	0	1	1	1	2	70	1
1	0	1	1	0	2	71	1
0	1	1	1	0	2	72	1
1	0	0	0	0	1	73	1
1	1	1	0	1	1	74	1
0	1	1	1	1	1	75	1
1	1	1	1	0	1	76	1
1	0	1	0	0	1	77	1
1	0	1	0	0	2	78	1
1	1	1	0	0	1	79	1
0	1	1	1	0	2	80	1
1	0	1	1	0	2	81	1
1	0	1	0	1	1	82	1
1	0	1	1	0	3	83	1
1	0	0	1	0	3	84	1
0	0	1	1	0	2	85	1
0	0	0	0	0	2	86	1
1	0	0	0	0	3	87	1
0	0	0	0	0	1	88	1
1	0	0	1	0	2	89	1
0	0	1	0	1	2	90	1
0	1	0	0	0	2	91	1
1	1	0	1	0	2	92	1
0	1	0	0	0	1	93	1
0	0	1	1	0	3	94	1
1	0	1	1	0	2	95	1
1	1	0	1	0	3	96	1
0	1	0	0	0	0	97	1
0	1	0	0	0	2	98	1
1	0	0	0	1	1	99	1
1	1	0	0	0	1	100	1
1	0	0	0	0	3	101	1
1	1	0	0	0	2	102	1
1	0	0	1	0	3	103	1
0	0	0	1	0	3	104	1
0	1	0	1	0	2	105	1
1	0	1	1	0	2	106	1
1	1	0	1	1	2	107	1
1	0	0	1	0	1	108	1
0	0	0	0	0	3	109	1
0	0	0	1	0	3	110	1
1	0	1	0	0	2	111	1
0	1	0	0	0	2	112	1
0	0	0	1	0	2	113	1
1	1	0	0	0	3	114	1
1	0	1	0	0	2	115	1
0	1	1	0	0	2	116	1
1	1	0	0	1	3	117	1
1	1	1	1	0	3	118	1
0	1	0	0	0	2	119	1
0	0	0	1	1	2	120	1
0	1	0	0	0	2	121	1
0	0	0	0	1	0	122	1
0	1	1	0	0	2	123	1
1	0	1	0	0	1	124	1
0	1	1	0	0	0	125	1
1	0	1	0	0	2	126	1
0	0	1	0	0	1	127	1
1	0	0	0	0	2	128	1
1	1	0	1	0	2	129	1
0	0	0	0	0	1	130	1
1	0	0	1	0	2	131	1
1	1	0	0	0	2	132	1
0	1	1	0	1	1	133	1
1	1	0	0	0	2	134	1
0	0	0	1	0	2	135	1
1	0	0	0	1	1	136	1
1	1	1	0	0	0	137	1
1	1	0	1	1	2	138	1
0	0	0	1	0	3	139	1
1	0	0	1	0	3	140	1
1	1	0	0	0	2	141	1
0	1	0	0	0	2	142	1
1	1	1	1	0	2	143	1
0	1	0	1	1	2	144	1
1	0	0	1	0	3	145	1
0	0	0	1	0	3	146	1
1	0	1	0	1	2	147	1
1	1	1	1	0	2	148	1
1	1	0	0	1	2	149	1
0	0	0	1	0	0	150	1
1	0	0	0	0	1	151	1
1	0	1	0	0	0	152	1
1	1	1	1	0	2	153	1
1	0	0	1	1	2	154	1
0	1	0	0	1	0	155	1
1	0	0	0	1	0	156	1
0	0	0	0	0	1	157	1
0	1	0	0	1	1	158	1
1	0	0	1	0	1	159	1
1	0	0	0	0	2	160	1
0	0	0	0	0	2	161	1
1	0	0	1	0	2	162	1
1	0	1	1	0	3	163	1
1	0	0	0	0	2	164	1
0	1	0	1	0	2	165	1
0	0	0	0	0	2	166	1
0	0	1	1	0	1	167	1
0	1	0	1	0	2	168	1
1	1	1	0	0	2	169	1
0	1	0	1	0	1	170	1
1	0	0	1	0	1	171	1
0	0	1	1	0	1	172	1
0	0	0	0	0	0	173	1
1	0	1	0	0	1	174	1
1	0	0	0	0	0	175	1
1	0	1	0	0	1	176	1
0	0	1	1	0	1	177	1
1	0	1	0	0	2	178	1
1	1	1	0	1	2	179	1
1	1	0	1	0	1	180	1
0	0	0	0	0	1	181	1
1	1	1	0	0	1	182	1
1	0	0	0	0	2	183	1
0	0	1	1	0	2	184	1
1	0	0	0	0	2	185	1
0	1	0	1	0	1	186	1
1	1	0	0	0	3	187	1
1	1	0	1	0	2	188	1
1	1	0	1	1	2	189	1
1	0	1	1	0	1	190	1
0	0	1	0	0	1	191	1
0	0	0	0	0	1	192	1
1	0	0	1	0	1	193	1
0	0	0	1	0	2	194	1
0	0	0	1	0	2	195	1
1	0	0	1	0	2	196	1
1	1	1	1	1	2	197	1
0	0	0	0	0	0	198	1
0	0	0	1	0	1	199	1
0	0	0	0	1	2	200	1
0	0	1	1	0	1	201	1
1	0	1	0	0	2	202	1
0	0	0	1	0	1	203	1
1	0	1	0	0	2	204	1
1	0	0	1	0	1	205	1
1	0	0	0	0	2	206	1
1	0	1	1	0	3	207	1
1	0	1	0	0	1	208	1
1	1	1	0	0	2	209	1
0	1	1	1	1	3	210	1
1	1	0	1	0	2	211	1
1	1	0	0	0	2	212	1
0	0	0	1	1	1	213	1
0	1	0	1	0	2	214	1
1	0	1	1	0	2	215	1
0	0	0	1	0	2	216	1
1	0	0	0	0	2	217	1
0	0	0	0	0	0	218	1
1	0	1	1	0	0	219	1
0	0	0	0	0	0	220	1
1	0	0	0	0	1	221	1
0	0	0	1	1	3	222	1
0	1	1	1	1	2	223	1
1	1	0	0	0	2	224	1
0	0	0	0	0	1	225	1
1	0	0	1	0	0	226	1
0	1	0	1	0	2	227	1
0	0	0	0	0	0	228	1
0	0	0	0	0	1	229	1
1	0	1	0	0	0	230	1
1	1	1	1	1	3	231	1
1	0	0	0	0	1	232	1
1	1	0	0	0	2	233	1
0	1	0	1	0	2	234	1
0	1	0	1	0	1	235	1
0	0	0	1	0	0	236	1
1	0	1	1	0	2	237	1
1	0	0	0	0	1	238	1
1	0	1	0	0	1	239	1
1	1	0	1	0	2	240	1
0	0	0	0	0	2	241	1
1	0	0	1	1	1	242	1
0	0	0	0	0	0	243	1
1	1	1	1	0	2	244	1
0	1	1	0	0	2	245	1
1	0	0	0	0	2	246	1
0	0	1	0	0	0	247	1
0	0	1	0	0	1	248	1
1	0	1	0	0	0	249	1
0	0	0	1	0	2	250	1
0	0	0	0	0	1	251	1
1	0	0	1	1	0	252	1
0	0	0	0	0	2	253	1
1	0	1	0	0	1	254	1
0	0	1	0	0	2	255	1
1	0	1	0	0	1	256	1
0	0	1	0	0	1	257	1
0	0	1	1	0	1	258	1
1	0	0	1	0	2	259	1
1	0	0	0	0	0	260	1
0	0	0	0	0	0	261	1
1	0	0	0	0	2	262	1
1	0	0	0	0	0	263	1
1	0	0	0	0	1	264	1
1	0	1	0	0	2	265	1
