t Density Sender Receiver Contagion Reciprocity ContagionReciprocity EgoInTwoStar EgoOutTwoStar MixedTwoStar TransitiveTriangleT1 oOc.sport oOc.drugs oOc.alcohol MixedTwoStarSource MixedTwoStarSink TransitiveTriangleT3 TransitiveTriangleD1 TransitiveTriangleU1 CyclicTriangleC1 CyclicTriangleC3 AlterInTwoStar2 AlterOutTwoStar2 acceptance_rate
11000 19.0 52.0 48.0 37.0 31.0 11.0 66.0 56.0 108.0 36.0 31.0 38.0 68.0 115.0 100.0 21.0 43.0 34.0 21.0 3.0 32.0 52.0 0.274
12000 11.0 24.0 22.0 13.0 15.0 4.0 23.0 18.0 36.0 17.0 17.0 28.0 41.0 49.0 52.0 14.0 19.0 17.0 9.0 2.0 9.0 20.0 0.248
13000 22.0 56.0 49.0 39.0 33.0 12.0 64.0 61.0 113.0 36.0 37.0 42.0 70.0 125.0 99.0 15.0 45.0 31.0 21.0 2.0 29.0 49.0 0.233
14000 21.0 60.0 53.0 45.0 36.0 14.0 70.0 67.0 126.0 39.0 37.0 36.0 68.0 132.0 114.0 26.0 48.0 34.0 25.0 6.0 39.0 66.0 0.259
15000 20.0 52.0 48.0 38.0 33.0 13.0 63.0 55.0 106.0 34.0 34.0 38.0 71.0 114.0 105.0 18.0 42.0 32.0 22.0 4.0 30.0 52.0 0.275
16000 18.0 45.0 42.0 27.0 28.0 8.0 60.0 51.0 98.0 30.0 29.0 36.0 62.0 96.0 88.0 10.0 38.0 30.0 20.0 2.0 20.0 35.0 0.272
17000 21.0 55.0 49.0 32.0 31.0 7.0 68.0 59.0 117.0 35.0 35.0 40.0 70.0 121.0 98.0 13.0 41.0 31.0 21.0 1.0 25.0 50.0 0.269
18000 21.0 53.0 50.0 37.0 31.0 9.0 69.0 54.0 112.0 35.0 36.0 38.0 68.0 117.0 101.0 18.0 39.0 31.0 19.0 2.0 31.0 49.0 0.254
19000 20.0 52.0 45.0 33.0 30.0 10.0 59.0 55.0 101.0 26.0 35.0 35.0 65.0 116.0 84.0 7.0 37.0 25.0 16.0 1.0 25.0 40.0 0.245
20000 19.0 48.0 46.0 31.0 29.0 8.0 63.0 46.0 96.0 33.0 30.0 38.0 66.0 102.0 91.0 18.0 37.0 33.0 19.0 2.0 26.0 42.0 0.263
21000 23.0 59.0 53.0 44.0 35.0 13.0 69.0 63.0 121.0 37.0 39.0 41.0 75.0 131.0 108.0 19.0 44.0 33.0 22.0 3.0 38.0 65.0 0.278
