t Density Sender Receiver Contagion Reciprocity ContagionReciprocity EgoInTwoStar EgoOutTwoStar MixedTwoStar TransitiveTriangleT1 oOc.sport oOc.alcohol MixedTwoStarSource MixedTwoStarSink TransitiveTriangleT3 TransitiveTriangleD1 TransitiveTriangleU1 CyclicTriangleC1 CyclicTriangleC3 AlterInTwoStar2 AlterOutTwoStar2 GWSender.0.6931471805599453 GWReceiver.0.6931471805599453 acceptance_rate
11000 14.0 30.0 29.0 12.0 19.0 4.0 43.0 27.0 57.0 17.0 23.0 50.0 60.0 55.0 2.0 23.0 19.0 10.0 0.0 8.0 12.0 4.28125 5.56640625 0.331
12000 18.0 47.0 45.0 33.0 28.0 9.0 66.0 44.0 99.0 32.0 31.0 59.0 100.0 95.0 22.0 34.0 33.0 19.0 3.0 25.0 51.0 3.5 5.53515625 0.31
13000 24.0 61.0 56.0 45.0 39.0 15.0 71.0 62.0 119.0 43.0 40.0 85.0 124.0 112.0 30.0 50.0 41.0 28.0 6.0 35.0 61.0 5.5 7.47265625 0.328
14000 11.0 29.0 27.0 10.0 17.0 2.0 43.0 32.0 64.0 17.0 17.0 39.0 63.0 52.0 1.0 24.0 18.0 11.0 0.0 8.0 12.0 2.59375 3.75390625 0.349
15000 19.0 49.0 47.0 30.0 31.0 9.0 64.0 51.0 101.0 31.0 32.0 67.0 104.0 97.0 9.0 37.0 32.0 20.0 1.0 25.0 38.0 4.125 5.47265625 0.344
16000 13.0 26.0 26.0 11.0 18.0 3.0 38.0 18.0 44.0 15.0 20.0 43.0 47.0 47.0 3.0 18.0 15.0 9.0 0.0 6.0 11.0 4.0 5.25390625 0.312
17000 23.0 59.0 55.0 38.0 34.0 10.0 80.0 65.0 126.0 36.0 39.0 74.0 130.0 110.0 24.0 44.0 41.0 28.0 6.0 38.0 47.0 5.625 7.66015625 0.37
18000 13.0 34.0 34.0 20.0 20.0 5.0 54.0 35.0 75.0 23.0 20.0 48.0 72.0 78.0 5.0 27.0 27.0 14.0 0.0 13.0 23.0 2.71875 3.84765625 0.344
19000 27.0 69.0 62.0 42.0 42.0 12.0 79.0 74.0 142.0 45.0 46.0 90.0 147.0 123.0 15.0 54.0 43.0 33.0 3.0 38.0 65.0 6.625 8.91015625 0.364
20000 21.0 58.0 56.0 36.0 33.0 10.0 86.0 66.0 132.0 41.0 37.0 69.0 129.0 120.0 24.0 49.0 50.0 32.0 6.0 36.0 45.0 4.25 6.09765625 0.282
21000 14.0 32.0 32.0 17.0 21.0 6.0 49.0 26.0 63.0 20.0 23.0 51.0 59.0 63.0 7.0 25.0 22.0 15.0 2.0 9.0 15.0 3.625 5.03515625 0.361
22000 15.0 43.0 36.0 25.0 23.0 7.0 53.0 50.0 89.0 23.0 25.0 52.0 102.0 74.0 7.0 35.0 21.0 15.0 1.0 17.0 30.0 2.75 4.78515625 0.319
23000 22.0 57.0 57.0 42.0 34.0 13.0 83.0 61.0 124.0 40.0 35.0 73.0 125.0 121.0 28.0 46.0 46.0 28.0 5.0 42.0 46.0 4.9375 6.28515625 0.331
24000 19.0 49.0 43.0 32.0 27.0 10.0 58.0 57.0 104.0 29.0 32.0 62.0 111.0 86.0 19.0 41.0 29.0 22.0 5.0 28.0 35.0 5.0625 6.41015625 0.407
25000 24.0 59.0 60.0 45.0 39.0 13.0 81.0 57.0 128.0 46.0 40.0 81.0 122.0 121.0 29.0 45.0 44.0 29.0 5.0 41.0 61.0 5.78125 7.09765625 0.361
26000 22.0 55.0 52.0 38.0 34.0 12.0 72.0 58.0 117.0 39.0 35.0 76.0 115.0 98.0 23.0 44.0 38.0 25.0 4.0 29.0 42.0 5.4375 7.12890625 0.36
27000 16.0 40.0 36.0 26.0 24.0 8.0 54.0 46.0 85.0 27.0 25.0 54.0 88.0 75.0 9.0 34.0 24.0 16.0 1.0 18.0 33.0 4.5 6.03515625 0.322
28000 20.0 53.0 50.0 33.0 32.0 9.0 69.0 60.0 117.0 34.0 33.0 64.0 111.0 95.0 12.0 42.0 32.0 22.0 2.0 26.0 43.0 4.6875 5.78515625 0.318
29000 19.0 46.0 43.0 31.0 28.0 9.0 60.0 45.0 91.0 30.0 32.0 67.0 101.0 100.0 17.0 36.0 30.0 20.0 3.0 22.0 44.0 4.84375 6.59765625 0.337
30000 10.0 21.0 20.0 8.0 14.0 2.0 33.0 15.0 35.0 9.0 18.0 37.0 42.0 39.0 3.0 15.0 10.0 6.0 0.0 5.0 8.0 2.75 4.12890625 0.299
31000 15.0 30.0 35.0 18.0 23.0 6.0 51.0 21.0 57.0 21.0 24.0 52.0 57.0 76.0 5.0 21.0 25.0 13.0 0.0 14.0 22.0 4.625 4.91015625 0.361
32000 15.0 40.0 35.0 23.0 22.0 6.0 51.0 47.0 85.0 25.0 25.0 56.0 92.0 68.0 10.0 35.0 24.0 16.0 2.0 17.0 26.0 3.625 5.19140625 0.36
33000 21.0 54.0 52.0 41.0 31.0 11.0 72.0 61.0 120.0 39.0 33.0 68.0 120.0 105.0 28.0 44.0 36.0 21.0 4.0 34.0 55.0 5.4375 6.41015625 0.338
34000 18.0 41.0 40.0 21.0 25.0 5.0 57.0 43.0 79.0 24.0 29.0 57.0 95.0 84.0 9.0 31.0 27.0 15.0 1.0 21.0 25.0 5.375 6.47265625 0.325
35000 17.0 46.0 39.0 22.0 25.0 5.0 56.0 52.0 94.0 27.0 28.0 56.0 108.0 66.0 10.0 37.0 23.0 19.0 2.0 18.0 26.0 3.5625 5.72265625 0.315
36000 21.0 56.0 50.0 37.0 31.0 10.0 71.0 61.0 118.0 36.0 35.0 72.0 125.0 89.0 24.0 44.0 34.0 23.0 4.0 31.0 43.0 4.4375 6.75390625 0.354
37000 13.0 35.0 31.0 15.0 19.0 3.0 48.0 36.0 71.0 19.0 21.0 44.0 75.0 61.0 3.0 26.0 22.0 12.0 0.0 7.0 17.0 2.46875 4.28515625 0.348
38000 21.0 58.0 50.0 25.0 34.0 5.0 66.0 67.0 121.0 38.0 35.0 68.0 122.0 92.0 10.0 49.0 34.0 27.0 2.0 20.0 36.0 4.5 6.56640625 0.34
39000 22.0 53.0 52.0 46.0 32.0 13.0 71.0 52.0 112.0 37.0 36.0 73.0 112.0 103.0 28.0 38.0 35.0 20.0 4.0 37.0 55.0 5.65625 7.16015625 0.403
40000 18.0 46.0 43.0 24.0 28.0 6.0 59.0 46.0 92.0 34.0 28.0 64.0 100.0 89.0 15.0 40.0 35.0 25.0 3.0 16.0 33.0 4.09375 5.75390625 0.328
41000 16.0 37.0 34.0 13.0 23.0 2.0 47.0 36.0 70.0 23.0 24.0 50.0 78.0 54.0 5.0 30.0 23.0 17.0 1.0 9.0 12.0 4.46875 5.94140625 0.378
42000 16.0 44.0 41.0 31.0 29.0 11.0 56.0 50.0 97.0 30.0 28.0 56.0 93.0 75.0 23.0 35.0 28.0 25.0 7.0 24.0 31.0 3.1875 4.03515625 0.376
43000 22.0 59.0 56.0 48.0 36.0 14.0 75.0 63.0 126.0 42.0 37.0 75.0 132.0 119.0 31.0 46.0 38.0 24.0 5.0 44.0 68.0 4.4375 6.03515625 0.318
44000 22.0 58.0 55.0 38.0 34.0 10.0 78.0 64.0 125.0 40.0 38.0 75.0 127.0 112.0 23.0 48.0 44.0 31.0 5.0 36.0 46.0 5.0 6.69140625 0.342
45000 19.0 46.0 43.0 29.0 28.0 8.0 60.0 49.0 95.0 29.0 31.0 67.0 98.0 81.0 11.0 36.0 28.0 17.0 1.0 21.0 33.0 5.125 6.59765625 0.327
46000 10.0 24.0 27.0 10.0 15.0 2.0 45.0 19.0 53.0 19.0 16.0 42.0 45.0 57.0 3.0 20.0 22.0 11.0 0.0 9.0 16.0 2.125 2.94140625 0.371
47000 18.0 43.0 42.0 27.0 27.0 8.0 58.0 40.0 83.0 29.0 28.0 60.0 88.0 82.0 15.0 33.0 33.0 18.0 2.0 19.0 31.0 4.34375 5.72265625 0.352
48000 19.0 47.0 42.0 24.0 26.0 6.0 54.0 51.0 90.0 29.0 30.0 61.0 107.0 83.0 9.0 40.0 29.0 18.0 1.0 19.0 35.0 5.125 6.44140625 0.343
49000 14.0 38.0 37.0 25.0 24.0 8.0 54.0 44.0 80.0 23.0 24.0 45.0 94.0 95.0 16.0 29.0 26.0 19.0 4.0 26.0 34.0 3.0 3.53515625 0.317
50000 21.0 48.0 47.0 29.0 32.0 9.0 61.0 39.0 89.0 30.0 37.0 71.0 88.0 86.0 10.0 33.0 33.0 19.0 1.0 17.0 33.0 5.1875 6.84765625 0.343
51000 12.0 29.0 32.0 13.0 21.0 5.0 54.0 30.0 72.0 19.0 21.0 46.0 50.0 64.0 2.0 22.0 24.0 12.0 0.0 8.0 15.0 3.09375 3.72265625 0.349
52000 18.0 46.0 44.0 26.0 29.0 7.0 61.0 45.0 92.0 37.0 27.0 61.0 92.0 89.0 17.0 40.0 37.0 23.0 2.0 17.0 29.0 3.96875 5.47265625 0.338
53000 18.0 43.0 43.0 23.0 27.0 5.0 63.0 42.0 92.0 29.0 29.0 61.0 89.0 90.0 6.0 33.0 31.0 19.0 0.0 16.0 29.0 4.71875 6.03515625 0.302
54000 23.0 61.0 57.0 44.0 37.0 12.0 75.0 60.0 123.0 43.0 39.0 78.0 134.0 120.0 31.0 46.0 40.0 27.0 5.0 40.0 68.0 4.40625 6.53515625 0.329
55000 20.0 49.0 46.0 28.0 32.0 9.0 61.0 42.0 90.0 32.0 36.0 70.0 99.0 98.0 16.0 38.0 35.0 23.0 3.0 21.0 43.0 4.3125 6.34765625 0.303
56000 22.0 56.0 53.0 37.0 37.0 12.0 71.0 60.0 118.0 38.0 36.0 77.0 112.0 109.0 20.0 44.0 37.0 25.0 4.0 25.0 47.0 5.3125 6.78515625 0.346
57000 20.0 54.0 47.0 30.0 32.0 8.0 64.0 54.0 104.0 35.0 32.0 58.0 119.0 91.0 10.0 41.0 30.0 23.0 1.0 19.0 43.0 3.65625 6.28515625 0.342
58000 10.0 24.0 19.0 5.0 15.0 1.0 14.0 19.0 30.0 15.0 17.0 34.0 50.0 35.0 0.0 21.0 11.0 11.0 0.0 1.0 6.0 2.125 3.5 0.382
59000 12.0 28.0 26.0 12.0 17.0 3.0 38.0 23.0 51.0 15.0 22.0 43.0 59.0 46.0 3.0 21.0 17.0 11.0 0.0 9.0 13.0 2.8125 4.25390625 0.338
60000 20.0 53.0 51.0 37.0 31.0 10.0 75.0 61.0 119.0 34.0 34.0 64.0 114.0 110.0 17.0 42.0 36.0 22.0 3.0 31.0 47.0 4.8125 6.12890625 0.326
61000 19.0 49.0 47.0 34.0 29.0 10.0 64.0 49.0 97.0 34.0 30.0 65.0 108.0 107.0 27.0 40.0 36.0 22.0 5.0 26.0 51.0 4.21875 5.47265625 0.323
62000 16.0 31.0 29.0 16.0 22.0 6.0 39.0 22.0 49.0 17.0 27.0 55.0 52.0 50.0 6.0 22.0 17.0 13.0 1.0 9.0 15.0 5.375 7.00390625 0.315
63000 29.0 73.0 68.0 58.0 48.0 19.0 83.0 72.0 143.0 48.0 50.0 90.0 155.0 132.0 33.0 54.0 44.0 32.0 7.0 48.0 75.0 6.4375 8.59765625 0.341
64000 17.0 47.0 38.0 25.0 24.0 6.0 55.0 55.0 96.0 26.0 30.0 54.0 113.0 69.0 8.0 38.0 23.0 16.0 1.0 19.0 29.0 3.5625 5.97265625 0.368
65000 22.0 62.0 54.0 41.0 37.0 13.0 72.0 68.0 125.0 41.0 37.0 74.0 135.0 112.0 24.0 51.0 36.0 26.0 4.0 29.0 57.0 3.9375 6.41015625 0.387
66000 18.0 48.0 46.0 32.0 28.0 7.0 67.0 50.0 105.0 37.0 28.0 62.0 103.0 99.0 20.0 39.0 35.0 21.0 2.0 26.0 52.0 3.78125 5.41015625 0.366
67000 21.0 53.0 52.0 33.0 32.0 8.0 76.0 58.0 114.0 34.0 34.0 70.0 118.0 112.0 13.0 40.0 38.0 22.0 1.0 31.0 41.0 5.3125 6.69140625 0.301
68000 23.0 63.0 60.0 48.0 41.0 15.0 80.0 67.0 134.0 47.0 37.0 74.0 131.0 120.0 32.0 51.0 44.0 30.0 6.0 38.0 66.0 4.3125 5.97265625 0.334
69000 19.0 52.0 44.0 33.0 28.0 9.0 56.0 58.0 105.0 30.0 35.0 61.0 119.0 79.0 17.0 41.0 24.0 18.0 3.0 30.0 37.0 3.8125 5.81640625 0.33
70000 16.0 39.0 33.0 21.0 24.0 7.0 42.0 43.0 73.0 19.0 26.0 47.0 92.0 67.0 5.0 28.0 16.0 14.0 1.0 13.0 23.0 4.375 5.62890625 0.347
71000 16.0 39.0 36.0 19.0 24.0 5.0 49.0 38.0 72.0 27.0 25.0 57.0 82.0 76.0 4.0 33.0 27.0 18.0 0.0 14.0 26.0 3.96875 5.44140625 0.3
72000 15.0 37.0 33.0 24.0 22.0 8.0 50.0 42.0 76.0 23.0 24.0 50.0 78.0 61.0 8.0 30.0 22.0 13.0 1.0 12.0 21.0 4.125 5.66015625 0.339
73000 17.0 43.0 35.0 19.0 25.0 5.0 45.0 47.0 77.0 25.0 27.0 58.0 98.0 66.0 7.0 37.0 21.0 18.0 1.0 13.0 25.0 4.25 6.25390625 0.32
74000 20.0 53.0 46.0 29.0 30.0 8.0 66.0 60.0 114.0 33.0 33.0 69.0 117.0 85.0 13.0 45.0 30.0 25.0 3.0 24.0 33.0 4.6875 6.94140625 0.323
75000 14.0 32.0 34.0 15.0 21.0 4.0 53.0 27.0 68.0 21.0 23.0 50.0 63.0 65.0 3.0 21.0 23.0 11.0 0.0 11.0 16.0 3.5625 4.59765625 0.342
76000 14.0 38.0 32.0 18.0 21.0 5.0 45.0 45.0 78.0 20.0 23.0 50.0 89.0 71.0 5.0 33.0 20.0 15.0 1.0 16.0 25.0 3.25 4.75390625 0.314
77000 16.0 38.0 31.0 13.0 21.0 3.0 40.0 37.0 64.0 17.0 26.0 50.0 86.0 66.0 3.0 29.0 20.0 13.0 0.0 10.0 21.0 4.21875 6.25390625 0.34
78000 22.0 55.0 54.0 32.0 35.0 9.0 75.0 56.0 119.0 40.0 35.0 75.0 109.0 105.0 16.0 42.0 40.0 26.0 2.0 24.0 37.0 5.40625 6.84765625 0.344
79000 15.0 40.0 40.0 17.0 22.0 2.0 65.0 43.0 91.0 24.0 26.0 50.0 84.0 77.0 4.0 28.0 31.0 15.0 0.0 16.0 19.0 3.15625 4.50390625 0.305
80000 11.0 26.0 21.0 8.0 15.0 3.0 33.0 26.0 42.0 13.0 17.0 37.0 54.0 47.0 0.0 23.0 13.0 10.0 0.0 3.0 7.0 3.03125 4.75390625 0.306
81000 20.0 51.0 45.0 32.0 32.0 10.0 60.0 58.0 109.0 31.0 35.0 65.0 108.0 76.0 13.0 37.0 27.0 25.0 3.0 22.0 36.0 5.125 6.59765625 0.335
82000 14.0 36.0 30.0 13.0 23.0 4.0 40.0 38.0 62.0 22.0 24.0 49.0 73.0 51.0 3.0 33.0 17.0 16.0 0.0 10.0 15.0 3.0625 4.75390625 0.344
83000 21.0 52.0 48.0 38.0 31.0 11.0 66.0 56.0 108.0 36.0 33.0 68.0 108.0 89.0 22.0 41.0 34.0 20.0 3.0 26.0 42.0 5.4375 7.16015625 0.333
84000 14.0 36.0 36.0 23.0 21.0 6.0 56.0 36.0 78.0 25.0 21.0 50.0 79.0 78.0 15.0 27.0 29.0 14.0 2.0 18.0 29.0 2.96875 4.22265625 0.355
85000 26.0 66.0 60.0 45.0 43.0 15.0 75.0 68.0 128.0 46.0 43.0 88.0 135.0 121.0 30.0 54.0 44.0 32.0 6.0 32.0 61.0 6.0625 8.16015625 0.352
86000 16.0 43.0 42.0 26.0 26.0 7.0 62.0 47.0 96.0 32.0 27.0 58.0 93.0 76.0 18.0 36.0 32.0 19.0 3.0 22.0 30.0 3.25 4.47265625 0.316
87000 18.0 42.0 42.0 23.0 26.0 5.0 60.0 40.0 87.0 27.0 29.0 64.0 91.0 85.0 8.0 30.0 29.0 16.0 0.0 20.0 30.0 4.84375 6.09765625 0.342
88000 16.0 32.0 29.0 14.0 20.0 4.0 37.0 29.0 54.0 14.0 27.0 50.0 72.0 46.0 3.0 18.0 16.0 10.0 0.0 9.0 12.0 5.46875 6.50390625 0.316
89000 14.0 35.0 30.0 16.0 21.0 4.0 40.0 34.0 61.0 19.0 24.0 49.0 76.0 62.0 4.0 28.0 18.0 14.0 0.0 11.0 22.0 3.09375 4.75390625 0.336
90000 15.0 36.0 34.0 22.0 23.0 7.0 47.0 35.0 68.0 22.0 25.0 56.0 77.0 77.0 11.0 28.0 22.0 15.0 3.0 16.0 29.0 3.71875 4.94140625 0.345
91000 13.0 28.0 25.0 10.0 17.0 4.0 35.0 22.0 42.0 12.0 22.0 43.0 57.0 51.0 2.0 20.0 13.0 9.0 0.0 5.0 12.0 3.75 5.12890625 0.33
92000 17.0 47.0 45.0 30.0 30.0 9.0 63.0 50.0 98.0 36.0 25.0 56.0 96.0 87.0 20.0 41.0 37.0 23.0 3.0 21.0 33.0 3.0 4.34765625 0.326
93000 20.0 52.0 48.0 33.0 30.0 8.0 65.0 59.0 113.0 36.0 33.0 65.0 115.0 98.0 17.0 43.0 33.0 22.0 3.0 30.0 47.0 5.0625 6.50390625 0.351
94000 17.0 39.0 39.0 24.0 23.0 6.0 58.0 34.0 82.0 23.0 28.0 58.0 81.0 73.0 7.0 26.0 26.0 12.0 0.0 18.0 30.0 4.5625 6.09765625 0.331
95000 22.0 53.0 50.0 33.0 35.0 10.0 63.0 48.0 97.0 34.0 36.0 73.0 102.0 93.0 11.0 40.0 35.0 23.0 1.0 19.0 37.0 5.09375 6.84765625 0.353
96000 16.0 35.0 34.0 18.0 20.0 4.0 48.0 29.0 67.0 20.0 26.0 60.0 78.0 71.0 5.0 24.0 23.0 12.0 0.0 13.0 26.0 4.5625 6.06640625 0.336
97000 17.0 41.0 35.0 21.0 25.0 6.0 46.0 47.0 82.0 22.0 30.0 56.0 92.0 56.0 7.0 29.0 18.0 16.0 1.0 14.0 22.0 4.9375 6.19140625 0.293
98000 21.0 55.0 49.0 36.0 35.0 12.0 62.0 57.0 105.0 36.0 36.0 75.0 118.0 103.0 18.0 46.0 34.0 26.0 4.0 27.0 51.0 4.375 6.28515625 0.344
99000 18.0 44.0 43.0 25.0 27.0 6.0 63.0 49.0 98.0 34.0 29.0 65.0 92.0 78.0 19.0 39.0 34.0 21.0 3.0 21.0 28.0 5.125 6.22265625 0.343
100000 16.0 41.0 40.0 27.0 25.0 7.0 60.0 42.0 89.0 29.0 25.0 56.0 86.0 86.0 11.0 33.0 30.0 18.0 1.0 18.0 34.0 3.71875 5.09765625 0.324
101000 17.0 39.0 36.0 23.0 25.0 7.0 47.0 37.0 71.0 25.0 30.0 61.0 83.0 74.0 13.0 31.0 25.0 18.0 3.0 15.0 27.0 4.71875 6.12890625 0.377
102000 18.0 47.0 44.0 22.0 31.0 7.0 64.0 52.0 94.0 29.0 29.0 56.0 97.0 97.0 12.0 38.0 31.0 24.0 3.0 20.0 33.0 4.25 5.78515625 0.343
103000 16.0 41.0 34.0 25.0 23.0 8.0 44.0 45.0 77.0 19.0 28.0 57.0 93.0 70.0 7.0 32.0 18.0 13.0 1.0 19.0 31.0 3.75 5.50390625 0.368
104000 21.0 47.0 43.0 25.0 30.0 7.0 53.0 44.0 85.0 32.0 36.0 72.0 95.0 79.0 13.0 40.0 31.0 23.0 3.0 16.0 25.0 6.21875 7.81640625 0.349
105000 16.0 38.0 39.0 27.0 23.0 7.0 59.0 38.0 84.0 27.0 24.0 59.0 77.0 81.0 16.0 29.0 29.0 15.0 2.0 18.0 30.0 4.34375 5.34765625 0.351
106000 22.0 59.0 56.0 40.0 39.0 13.0 75.0 64.0 125.0 44.0 35.0 77.0 122.0 122.0 28.0 50.0 43.0 31.0 6.0 30.0 53.0 4.6875 6.16015625 0.344
