t Density Sender Receiver Contagion Reciprocity ContagionReciprocity EgoInTwoStar EgoOutTwoStar MixedTwoStar TransitiveTriangleT1 oOc.sport oOc.drugs oOc.alcohol MixedTwoStarSource MixedTwoStarSink TransitiveTriangleT3 TransitiveTriangleD1 TransitiveTriangleU1 CyclicTriangleC1 CyclicTriangleC3 AlterInTwoStar2 AlterOutTwoStar2 acceptance_rate
200 15.0 33.0 33.0 12.0 22.0 4.0 52.0 27.0 66.0 18.0 25.0 32.0 50.0 66.0 69.0 0.0 23.0 24.0 13.0 0.0 9.0 14.0 0.26
300 15.0 35.0 36.0 20.0 24.0 6.0 55.0 32.0 73.0 23.0 26.0 32.0 56.0 70.0 77.0 7.0 27.0 24.0 13.0 0.0 17.0 26.0 0.28
400 13.0 29.0 26.0 10.0 18.0 3.0 39.0 28.0 55.0 13.0 23.0 26.0 44.0 60.0 48.0 3.0 23.0 14.0 9.0 0.0 9.0 11.0 0.26
500 13.0 27.0 24.0 7.0 18.0 2.0 35.0 20.0 40.0 14.0 21.0 26.0 42.0 53.0 45.0 2.0 21.0 15.0 9.0 0.0 3.0 7.0 0.2
600 8.0 17.0 16.0 8.0 11.0 3.0 30.0 12.0 28.0 7.0 14.0 18.0 30.0 35.0 38.0 2.0 13.0 10.0 5.0 0.0 4.0 8.0 0.23
700 16.0 39.0 39.0 25.0 26.0 8.0 58.0 36.0 79.0 27.0 27.0 33.0 60.0 74.0 73.0 17.0 31.0 28.0 15.0 2.0 19.0 28.0 0.32
800 18.0 47.0 46.0 32.0 30.0 10.0 66.0 47.0 101.0 29.0 32.0 35.0 64.0 101.0 95.0 10.0 35.0 32.0 18.0 1.0 30.0 43.0 0.24
900 16.0 34.0 37.0 23.0 25.0 8.0 57.0 27.0 69.0 26.0 26.0 34.0 57.0 65.0 78.0 16.0 26.0 27.0 15.0 3.0 20.0 24.0 0.28
1000 17.0 39.0 44.0 22.0 27.0 6.0 65.0 32.0 87.0 25.0 28.0 33.0 63.0 80.0 93.0 5.0 24.0 32.0 16.0 0.0 19.0 29.0 0.23
1100 19.0 51.0 48.0 29.0 32.0 8.0 66.0 54.0 107.0 33.0 30.0 34.0 63.0 110.0 91.0 9.0 40.0 33.0 22.0 1.0 24.0 36.0 0.24
1200 19.0 47.0 39.0 27.0 28.0 9.0 48.0 50.0 86.0 25.0 33.0 33.0 63.0 104.0 82.0 16.0 39.0 23.0 19.0 4.0 22.0 38.0 0.34
1300 19.0 49.0 48.0 38.0 29.0 10.0 70.0 51.0 109.0 36.0 31.0 39.0 64.0 109.0 102.0 27.0 38.0 35.0 20.0 4.0 35.0 55.0 0.28
1400 18.0 46.0 42.0 25.0 27.0 7.0 61.0 49.0 99.0 25.0 32.0 35.0 60.0 104.0 91.0 3.0 34.0 26.0 17.0 0.0 24.0 37.0 0.19
